Oscar_Film,Oscar_Year,Oscar_Award,Oscar_Nomination,Year,Rated,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,imdbRating,imdbVotes,BoxOffice,Ratings_IMD,Ratings_Rotten_Tomatoes,Ratings_Metacritic
Fantasia,1940,0,0,1940,G,124 min,"Animation, Family, Fantasy","James Algar, Samuel Armstrong, Ford Beebe Jr.","Joe Grant, Dick Huemer, Lee Blair","Leopold Stokowski, Deems Taylor, The Philadelphia Orchestra","A collection of animated interpretations of great works of Western classical music, ranging from the abstract to depictions of mythology and fantasy, and settings including the prehistoric, supernatural and sacred.",English,United States,8 wins & 1 nomination,7.7,"99,747","$76,408,097",7.7/10,95%,96/100
A Farewell to Arms,33,2,4,1932,Unrated,80 min,"Drama, Romance, War",Frank Borzage,"Benjamin Glazer, Oliver H.P. Garrett, Ernest Hemingway","Gary Cooper, Helen Hayes, Adolphe Menjou",An American ambulance driver and an English nurse fall in love in Italy during World War I.,"English, Italian, Latin, French",United States,Won 2 Oscars. 4 wins & 2 nominations total,6.4,"6,472",N/A,6.4/10,94%,
The Farmer's Daughter,1947,1,2,1947,Unrated,97 min,"Comedy, Drama, Romance",H.C. Potter,"Allen Rivkin, Laura Kerr, Hella Wuolijoki","Loretta Young, Joseph Cotten, Ethel Barrymore","After leaving her family's farm to study nursing in the city, a young woman finds herself on an unexpected path towards politics.","English, Swedish",United States,Won 1 Oscar. 1 win & 1 nomination total,7.2,"2,736",N/A,7.2/10,100%,
Father Goose,1964,1,3,1964,Approved,118 min,"Adventure, Comedy, Romance",Ralph Nelson,"Peter Stone, Frank Tarloff, S.H. Barnett","Cary Grant, Leslie Caron, Trevor Howard","During World War II, a man persuaded to live on an isolated island and spot aircraft finds himself responsible for a teacher and several students, all female.","English, French, Japanese",United States,Won 1 Oscar. 2 wins & 5 nominations total,7.3,"11,469","$12,500,000",7.3/10,80%,
Federico Fellini's 8½,1963,2,5,2001,N/A,8 min,"Documentary, Short",N/A,N/A,Terry Gilliam,Filmmaker Terry Gilliam discusses Fellini's 8&frac12; (1963).,English,USA,N/A,8.1,10,N/A,8.1/10,,
Ferdinand the Bull,1938,1,1,1938,Approved,8 min,"Animation, Short, Comedy",Dick Rickard,"Munro Leaf, Robert Lawson, Vernon Stallings","Don Wilson, Walt Disney, Milt Kahl","Ferdinand is a quiet, gentle bull who only wants to stop and smell the flowers. When he is stung by a bee, the townspeople believe he is ferocious and take him to the bullfight.",English,United States,Won 1 Oscar. 1 win total,7.1,"3,344",N/A,7.1/10,,
The Fighting Lady,1944,1,1,1954,Approved,79 min,"Drama, War",Andrew Marton,"James A. Michener, Harry A. Burns, Art Cohn","Van Johnson, Walter Pidgeon, Louis Calhern","A famous writer visits an aircraft carrier during the Korean war to learn more about it and the way it's run. He also gets to find out more about the Navy and Marine aviators themselves, their internal and external conflicts and d...",English,United States,N/A,6.2,597,N/A,6.2/10,,
First Steps,1947,1,1,1985,N/A,120 min,"Biography, Drama",Sheldon Larry,Rod Browning,"Amy Steel, Judd Hirsch, Kim Darby, Frances Lee McCain","Nan Davis, a teenage girl is hit in a car accident, and is left paralyzed. She has a tough time accepting her new wheelchair bound life. One day she gets a word about a new research being ...",English,USA,N/A,7.3,83,N/A,7.3/10,,
Flowers and Trees,32,1,1,1932,Approved,8 min,"Animation, Short, Comedy",Burt Gillett,N/A,"Clarence Nash, Esther Campbell, Pinto Colvig",A jealous stump threatens two trees that are in love by starting a forest fire. When the rain comes and puts out the fire the forest revives and celebrates the wedding.,English,United States,Won 1 Oscar. 2 wins total,7.3,"3,380",N/A,7.3/10,,
Folies Bergere,1935,1,1,1935,Passed,82 min,"Comedy, Music, Musical",Roy Del Ruth,"Rudolph Lothar, Hans Adler, Jessie Ernst","Maurice Chevalier, Merle Oberon, Ann Sothern","An entertainer impersonates a look-alike banker, causing comic confusion for wife and girlfriend.","English, French",United States,Won 1 Oscar. 1 win & 1 nomination total,6.5,325,N/A,6.5/10,,
